IsPossGoal,PlayerX,PlayerY,BallX,BallY,teammates_within_5,opponents_within_5,teammates_within_10,opponents_within_10,teammates_within_15,opponents_within_15,teammates_ahead_of_ball,opponents_ahead_of_ball
0,27.72,-0.56,16.76,-21.72,1,0,1,1,1,2,3,8
1,25.49,4.52,25.45,1.2,0,2,1,4,4,9,3,8
0,21.2,-1.83,24.25,10.63,0,1,1,2,3,4,4,8
0,28.69,1.9,29.06,2.49,0,1,0,3,6,9,5,9
0,22.3,0.98,21.5,1.95,0,1,2,3,3,6,3,6
0,23.72,-0.9,27.25,-5.3,1,1,2,3,3,6,4,8
0,27.27,-2.34,28.5,-1.26,0,2,2,4,5,7,3,7
0,24.69,1.97,25.24,-1.87,0,2,2,2,3,5,5,8
0,28.81,4.7,29.06,7.53,1,2,2,3,4,6,5,8
0,22.43,2.83,22.27,2.54,1,1,2,4,6,9,6,10
0,29.79,-2.62,15.34,-25.8,1,1,2,1,2,1,3,9
1,26.1,-3.13,28.13,-5.29,0,1,1,2,3,4,3,5
0,28.55,-1.42,37.66,-24.07,1,0,1,1,1,1,1,3
0,20.83,3.73,19.7,3.63,1,1,2,1,4,6,4,8
0,22.21,-0.45,21.84,-3.26,0,1,1,2,1,2,5,10
0,29.31,3.85,30.48,5.36,0,1,3,5,4,7,3,8
0,23.26,-2.08,24.46,-13.41,0,0,0,1,2,4,4,8
0,23.54,4.65,24.21,6.09,2,1,3,3,5,6,4,8
0,21.74,4.8,20.19,5.87,0,2,1,2,1,6,4,9
0,26.25,-2.56,24.63,3.04,2,3,4,5,6,8,4,8
0,20.85,-0.79,22.58,-1.56,0,2,2,4,3,8,6,9
0,22.85,0.81,22.41,0.47,0,1,1,3,1,3,1,3
0,21.8,-3.02,22.22,-2.51,0,1,2,3,3,6,5,9
0,29.76,4.15,30.14,2.48,1,1,1,5,4,7,6,9
0,25.46,2.27,25.63,2.68,0,1,1,3,4,7,6,9
0,25.51,1.22,25.84,-3.01,0,2,2,5,2,5,1,6
0,24.97,2.46,24.84,-0.1,0,2,4,4,6,8,4,8
0,26.6,-1.86,30.41,-7.29,1,2,2,5,3,7,1,5
0,22.05,3.25,20.9,2.55,0,1,2,3,4,6,3,5
0,22.49,2.63,22.96,3.25,1,1,2,1,4,5,6,9
0,24.71,3.93,23.68,4.12,0,1,1,3,3,7,6,10
0,26.98,4.11,27.13,6.76,0,0,0,3,4,6,4,7
0,20.12,-2.48,20.32,-2.94,0,2,1,5,4,6,4,9
0,23.47,-3.05,25.16,-8.49,0,0,0,1,4,5,5,9
0,23.57,-1.16,25.06,-3.33,0,0,1,3,4,6,5,6
0,27.17,2.11,27.3,0.21,1,3,2,7,3,9,2,6
0,24.2,3.2,24.9,-4.18,0,2,2,5,2,5,1,4
0,23.89,-2.82,NULL,NULL,0,0,0,0,0,0,0,0
0,27.77,-0.42,28.9,-5.31,1,0,1,7,3,8,4,8
0,22.31,1.8,22.14,-1.27,0,1,3,3,3,8,4,10
0,22.18,2.29,22.06,3.32,0,0,1,1,2,4,7,11
0,20.34,0.94,19.83,-4.8,1,1,2,2,3,5,5,8
0,22.22,3.1,22.85,4.31,1,1,1,3,2,5,7,10
0,24.06,4.21,25.14,6.79,0,1,2,3,4,6,5,8
0,25.25,-4.24,25.02,-7.86,0,0,1,4,2,5,4,8
0,27.67,-2.75,25.09,-3.99,1,1,1,3,5,7,5,9
0,29.19,2.79,31.99,4.18,0,1,2,5,2,6,3,7
0,25.66,-0.17,24.74,-0.15,1,3,1,5,3,8,4,7
0,24.94,0.68,26.78,-5.22,0,0,0,3,1,3,1,6
0,20.26,1.01,22,-0.04,1,2,2,4,2,5,2,5
0,24.02,1.56,26.21,2.42,0,2,2,4,3,7,4,7
0,25.74,3.28,25.47,0.28,1,1,3,5,4,8,6,8
0,28.11,3.08,27.75,1.36,0,1,2,3,2,5,1,5
0,27.56,-2.2,28.1,-2.55,0,2,1,2,4,7,5,8
0,22.56,-3.31,21.74,-7.4,0,1,2,3,3,5,4,8
0,21.36,-1.69,21.58,-2.17,0,1,1,3,2,6,4,7
0,20.33,3.74,20.22,3.14,0,0,0,1,2,6,7,11
0,26.14,1.79,26.88,3.01,0,1,0,4,1,6,2,6
0,20.1,2.62,18.25,-3.14,0,0,0,1,3,4,6,10
0,20.55,-2.7,24.94,-2.31,0,2,2,4,4,7,3,5
0,23.03,-1.25,23.55,-1.14,0,0,1,2,3,6,5,9
1,21.03,-3.87,21.81,-7.13,0,1,1,1,2,5,5,8
0,29.2,4.86,30.04,4.03,0,3,0,5,2,7,2,4
0,22.16,-1.58,26.96,-6.44,2,1,3,4,3,7,2,5
0,29.78,0.27,29.46,0.13,0,1,0,4,3,7,2,4
0,27.14,-1.05,26.18,3.9,0,0,2,5,3,6,5,8
